iter	Passed	Remaining
0	59	59371
1	59	29782
2	59	19918
3	60	14984
4	60	12023
5	60	10051
6	60	8638
7	61	7581
8	61	6756
9	61	6095
10	61	5555
11	62	5107
12	62	4726
13	62	4400
14	62	4116
15	62	3870
16	63	3651
17	63	3457
18	63	3283
19	63	3128
20	64	2987
21	64	2862
22	64	2748
23	64	2639
24	65	2540
25	65	2449
26	65	2364
27	65	2285
28	66	2211
29	66	2142
30	66	2079
31	66	2019
32	66	1962
33	67	1915
34	67	1866
35	67	1820
36	68	1775
37	68	1733
38	68	1692
39	68	1654
40	69	1617
41	69	1582
42	69	1548
43	69	1516
44	70	1485
45	70	1456
46	70	1428
47	70	1401
48	70	1376
49	71	1351
50	71	1328
51	71	1305
52	71	1282
53	72	1261
54	72	1240
55	72	1221
56	72	1201
57	72	1184
58	73	1167
59	73	1150
60	73	1133
61	73	1118
62	74	1102
63	74	1087
64	74	1072
65	74	1058
66	74	1044
67	75	1029
68	75	1015
69	75	1003
70	75	991
71	75	979
72	76	967
73	76	955
74	76	944
75	76	933
76	77	923
77	77	913
78	77	903
79	77	893
80	77	884
81	78	875
82	78	866
83	78	857
84	78	848
85	79	841
86	79	832
87	79	823
88	79	816
89	79	808
90	80	800
91	80	793
92	80	786
93	80	778
94	81	772
95	81	765
96	81	758
97	81	751
98	82	747
99	82	742
100	82	736
101	82	729
102	83	723
103	83	717
104	83	711
105	83	706
106	83	700
107	84	694
108	84	689
109	84	684
110	84	679
111	84	673
112	85	668
113	85	663
114	85	658
115	85	653
116	85	648
117	86	644
118	86	639
119	86	635
120	86	631
121	87	627
122	87	622
123	87	617
124	87	613
125	87	609
126	88	605
127	88	600
128	88	596
129	88	593
130	88	589
131	89	585
132	89	581
133	89	578
134	89	574
135	89	571
136	90	567
137	90	563
138	90	562
139	90	558
140	91	555
141	91	552
142	91	549
143	91	545
144	92	542
145	92	539
146	92	536
147	92	533
148	92	530
149	93	527
150	93	525
151	93	522
152	93	519
153	94	516
154	94	513
155	94	510
156	94	508
157	94	505
158	95	503
159	95	502
160	96	501
161	96	498
162	96	496
163	96	494
164	97	492
165	97	489
166	97	487
167	97	484
168	98	482
169	98	480
170	98	478
171	98	476
172	99	473
173	99	471
174	99	469
175	99	467
176	100	465
177	100	462
178	100	460
179	100	458
180	100	455
181	100	453
182	101	451
183	101	449
184	101	447
185	101	445
186	102	443
187	102	441
188	102	439
189	102	437
190	102	435
191	103	433
192	103	432
193	103	430
194	103	429
195	104	427
196	104	425
197	104	423
198	104	421
199	105	420
200	105	418
201	105	416
202	105	414
203	105	412
204	106	411
205	106	409
206	106	407
207	106	406
208	106	404
209	107	402
210	107	401
211	107	399
212	107	398
213	108	396
214	108	395
215	108	394
216	108	392
217	109	391
218	109	389
219	109	388
220	109	386
221	109	385
222	110	383
223	110	382
224	110	380
225	110	379
226	110	377
227	111	376
228	111	375
229	111	373
230	112	372
231	112	372
232	112	371
233	112	369
234	113	368
235	113	367
236	113	365
237	113	364
238	114	363
239	114	361
240	114	360
241	114	359
242	114	357
243	115	356
244	115	355
245	115	353
246	115	352
247	115	351
248	116	350
249	116	349
250	116	348
251	116	347
252	117	345
253	117	344
254	117	343
255	117	342
256	118	341
257	118	340
258	118	338
259	118	337
260	118	336
261	119	335
262	119	334
263	119	333
264	119	332
265	119	330
266	120	329
267	120	328
268	120	327
269	120	326
270	120	325
271	121	324
272	121	323
273	121	322
274	121	321
275	122	320
276	122	319
277	122	318
278	122	317
279	122	316
280	123	315
281	123	314
282	123	313
283	123	312
284	124	311
285	124	310
286	124	309
287	124	308
288	124	307
289	125	306
290	125	305
291	125	304
292	125	303
293	126	302
294	126	301
295	126	300
296	126	299
297	126	299
298	127	298
299	127	297
300	127	296
301	127	295
302	128	294
