iter	Passed	Remaining
0	58	58062
1	58	29157
2	58	19503
3	58	14679
4	59	11783
5	59	9852
6	59	8478
7	60	7444
8	60	6638
9	60	5995
10	60	5468
11	61	5028
12	61	4662
13	61	4344
14	61	4067
15	62	3829
16	62	3616
17	62	3426
18	63	3256
19	63	3103
20	63	2966
21	63	2840
22	64	2725
23	64	2619
24	64	2521
25	64	2434
26	65	2351
27	65	2273
28	65	2201
29	66	2134
30	66	2071
31	66	2012
32	66	1957
33	67	1904
34	67	1855
35	67	1808
36	67	1763
37	68	1722
38	68	1682
39	68	1643
40	68	1607
41	68	1572
42	69	1540
43	69	1508
44	69	1479
45	69	1450
46	70	1423
47	70	1397
48	70	1372
49	71	1349
50	71	1326
51	71	1304
52	71	1282
53	72	1262
54	72	1243
55	72	1224
56	72	1205
57	73	1187
58	73	1170
59	73	1152
60	74	1144
61	74	1129
62	74	1114
63	75	1099
64	75	1085
65	75	1071
66	76	1058
67	76	1045
68	76	1032
69	76	1019
70	77	1007
71	77	995
72	77	984
73	77	972
74	77	961
75	78	950
76	78	940
77	78	930
78	78	919
79	79	910
80	79	901
81	79	892
82	79	881
83	80	872
84	80	865
85	80	856
86	80	848
87	81	840
88	81	832
89	81	824
90	81	816
91	81	809
92	82	801
93	82	794
94	82	787
95	82	780
96	83	773
97	83	767
98	83	761
99	83	755
100	84	748
101	84	742
102	84	736
103	84	730
104	85	724
105	85	719
106	85	714
107	85	709
108	86	703
109	86	698
110	86	693
111	86	688
112	87	684
113	87	680
114	87	675
115	88	670
116	88	666
117	88	661
118	88	656
119	88	652
120	89	648
121	89	643
122	89	639
123	89	635
124	90	631
125	90	627
126	90	622
127	90	618
128	91	615
129	91	611
130	91	607
131	91	603
132	92	600
133	92	596
134	92	593
135	92	589
136	92	585
137	93	582
138	93	578
139	93	575
140	93	572
141	94	568
142	94	564
143	94	561
144	94	558
145	94	555
146	95	552
147	95	549
148	95	546
149	95	543
150	96	541
151	96	538
152	96	535
153	96	532
154	97	530
155	97	527
156	97	524
157	97	521
158	98	519
159	98	516
160	98	513
161	98	511
162	99	508
163	99	506
164	99	503
165	99	501
166	100	498
167	100	496
168	100	494
169	100	491
170	100	489
171	101	487
172	101	484
173	101	482
174	101	480
175	102	478
176	102	476
177	102	474
178	102	472
179	103	470
180	103	468
181	103	466
182	103	464
183	104	462
184	104	460
185	104	458
186	104	456
187	105	454
188	105	452
189	105	450
190	105	448
191	106	446
192	106	444
193	106	442
194	106	440
195	107	439
196	107	437
197	107	435
198	107	433
199	107	431
200	108	430
201	108	428
202	108	426
203	108	424
204	109	423
205	109	421
206	109	419
207	109	418
208	110	416
209	110	414
210	110	413
211	110	411
212	111	410
213	111	408
214	111	407
215	111	405
216	112	404
217	112	402
218	112	401
219	112	399
220	113	398
221	113	396
222	113	395
223	113	393
224	113	392
225	114	391
226	114	389
227	114	388
228	114	387
229	115	385
230	115	384
231	115	382
232	115	381
233	116	380
234	116	378
235	116	377
236	116	375
237	117	374
238	117	373
239	117	372
240	117	371
241	118	370
242	118	369
243	118	368
244	119	367
245	119	366
246	119	364
247	119	363
248	120	362
249	120	361
250	120	360
251	120	359
252	121	357
253	121	356
254	121	355
255	121	354
256	122	353
257	122	352
258	122	351
259	123	350
260	123	349
261	123	347
262	123	346
263	124	345
264	124	344
265	124	343
266	124	342
267	124	341
268	125	340
269	125	339
270	125	338
271	125	337
272	126	335
273	126	335
274	126	334
275	126	333
276	127	332
277	127	331
278	127	329
279	127	328
280	128	327
281	128	326
282	128	325
283	128	324
284	129	323
285	129	322
286	129	321
287	129	320
288	130	319
289	130	318
290	130	318
291	130	316
292	130	316
293	131	315
294	131	314
295	131	313
296	131	312
297	132	311
298	132	310
299	132	309
300	132	308
301	133	307
302	133	307
303	133	306
304	133	305
305	134	304
306	134	303
307	134	302
308	134	301
309	135	300
310	135	299
311	135	298
312	135	297
313	135	297
314	136	296
315	136	295
316	136	294
317	136	293
318	137	292
319	137	292
320	137	291
321	137	290
322	138	289
323	138	288
324	138	287
325	138	286
326	139	286
327	139	285
328	139	284
329	139	283
330	139	282
331	140	282
332	140	281
333	140	280
334	140	279
335	141	278
336	141	277
337	141	277
338	141	276
339	141	275
340	142	274
341	142	273
342	142	273
343	142	272
344	142	271
345	143	270
346	143	269
347	143	269
348	144	268
349	144	267
350	144	267
351	144	266
352	144	265
353	145	264
354	145	264
355	145	263
356	145	262
357	146	262
358	146	261
359	146	260
360	146	259
361	147	259
362	147	258
363	147	257
364	147	257
365	148	256
366	148	255
367	148	255
368	148	254
369	149	253
370	149	253
371	149	252
372	149	251
373	150	251
374	150	250
375	150	249
376	150	249
377	150	248
378	151	247
379	151	246
380	151	246
381	151	245
382	152	244
383	152	244
384	152	243
385	152	243
386	153	242
387	153	241
388	153	241
389	153	240
390	153	239
391	154	239
392	154	238
393	154	237
394	154	237
395	155	236
396	155	236
397	155	235
398	155	234
399	156	234
400	156	233
401	156	232
402	156	232
403	157	231
404	157	231
405	157	230
406	157	229
407	158	229
408	158	228
409	158	228
410	158	227
411	158	226
412	159	226
413	159	225
414	159	224
415	159	224
416	160	223
417	160	223
418	160	222
419	160	222
420	161	221
421	161	220
422	161	220
423	161	219
424	161	219
425	162	218
426	162	217
427	162	217
428	162	216
429	163	216
430	163	215
431	163	215
432	163	214
433	164	214
434	164	213
435	164	212
436	164	212
437	165	211
438	165	211
439	165	210
440	165	210
441	166	209
442	166	209
443	166	208
444	166	208
445	167	207
446	167	206
447	167	206
448	167	205
449	167	205
450	168	204
451	168	204
452	168	203
453	168	203
454	169	202
455	169	202
456	169	201
457	169	200
458	170	200
459	170	199
460	170	199
461	170	198
462	170	198
463	171	197
464	171	197
465	171	196
466	171	196
467	172	195
468	172	195
469	172	194
470	172	194
471	172	193
472	173	193
473	173	192
474	173	191
475	173	191
476	174	190
477	174	190
478	174	189
479	174	189
480	175	188
481	175	188
482	175	187
483	175	187
484	175	186
485	176	186
486	176	185
487	176	185
488	176	184
489	177	184
490	177	183
491	177	183
492	177	182
493	178	182
494	178	181
495	178	181
496	178	181
497	179	180
498	179	180
499	179	179
500	179	179
501	180	178
502	180	178
503	180	177
504	180	177
505	181	176
506	181	176
507	181	175
508	181	175
509	181	174
510	182	174
511	182	173
512	182	173
513	182	172
514	183	172
515	183	171
516	183	171
517	183	171
518	184	170
519	184	170
520	184	169
521	184	169
522	185	168
523	185	168
524	185	167
525	185	167
526	186	167
527	186	166
528	186	166
529	186	165
530	187	165
531	187	164
532	187	164
533	187	163
534	188	163
535	188	162
536	188	162
537	188	162
538	188	161
539	189	161
540	189	160
541	189	160
542	189	159
543	190	159
544	190	158
545	190	158
546	190	158
547	191	157
548	191	157
549	191	156
550	191	156
551	192	155
552	192	155
553	192	155
554	192	154
555	193	154
556	193	153
557	193	153
558	193	152
559	194	152
560	194	152
561	194	151
562	194	151
563	194	150
564	195	150
565	195	149
566	195	149
567	195	148
568	196	148
569	196	148
570	196	147
571	196	147
572	197	146
573	197	146
574	197	146
575	197	145
576	198	145
577	198	144
578	198	144
579	198	143
580	199	143
581	199	143
582	199	142
583	199	142
584	199	141
585	200	141
586	200	141
587	200	140
588	200	140
589	201	139
590	201	139
591	201	138
592	201	138
593	201	138
594	202	137
595	202	137
596	202	136
597	202	136
598	203	136
599	203	135
600	203	135
601	203	134
602	204	134
603	204	133
604	204	133
605	204	133
606	205	132
607	205	132
608	205	131
609	205	131
610	205	131
611	206	130
612	206	130
613	206	129
614	206	129
615	207	129
616	207	128
617	207	128
618	207	127
619	208	127
620	208	127
621	208	126
622	208	126
623	208	125
624	209	125
625	209	125
626	209	124
627	209	124
628	210	123
629	210	123
630	210	123
631	210	122
632	211	122
633	211	121
634	211	121
635	211	121
636	212	120
637	212	120
638	212	120
639	212	119
640	213	119
641	213	119
642	214	118
643	214	118
644	214	118
645	214	117
646	214	117
647	215	116
648	215	116
649	215	116
650	215	115
651	216	115
652	216	114
653	216	114
654	216	114
655	217	113
656	217	113
657	217	113
658	217	112
659	218	112
660	218	112
661	218	111
662	219	111
663	219	110
664	219	110
665	219	110
666	219	109
667	220	109
668	220	108
669	220	108
670	220	108
671	220	107
672	221	107
673	221	107
674	221	106
675	221	106
676	222	106
677	222	105
678	222	105
679	222	104
680	223	104
681	223	104
682	223	103
683	223	103
684	224	103
685	224	102
686	224	102
687	224	101
688	225	101
689	225	101
690	225	100
691	225	100
692	226	100
693	226	99
694	226	99
695	227	99
696	227	98
697	227	98
698	227	98
699	228	97
700	228	97
701	228	97
702	228	96
703	228	96
704	229	95
705	229	95
706	229	95
707	229	94
708	230	94
709	230	94
710	230	93
711	230	93
712	231	93
713	231	92
714	231	92
715	231	91
716	231	91
717	232	91
718	232	90
719	232	90
720	232	90
721	233	89
722	233	89
723	233	89
724	233	88
725	234	88
726	234	87
727	234	87
728	234	87
729	235	86
730	235	86
731	235	86
732	235	85
733	235	85
734	236	85
735	236	84
736	236	84
737	236	84
738	237	83
739	237	83
740	237	83
741	237	82
742	238	82
743	238	82
744	238	81
745	238	81
746	239	81
747	239	80
748	239	80
749	239	79
750	240	79
751	240	79
752	240	78
753	240	78
754	241	78
755	241	77
756	241	77
757	241	77
758	241	76
759	242	76
760	242	76
761	242	75
762	242	75
763	243	75
764	243	74
765	243	74
766	243	74
767	244	73
768	244	73
769	244	73
770	244	72
771	245	72
772	245	72
773	245	71
774	245	71
775	246	71
776	246	70
777	246	70
778	246	70
779	247	69
780	247	69
781	247	69
782	247	68
783	248	68
784	248	67
785	248	67
786	248	67
787	248	66
788	249	66
789	249	66
790	249	65
791	249	65
792	250	65
793	250	64
794	250	64
795	250	64
796	250	63
797	251	63
798	251	63
799	251	62
800	251	62
801	252	62
802	252	61
803	252	61
804	252	61
805	253	60
806	253	60
807	253	60
808	253	59
809	253	59
810	254	59
811	254	58
812	254	58
813	254	58
814	255	57
815	255	57
816	255	57
817	255	56
818	256	56
819	256	56
820	256	55
821	256	55
822	257	55
823	257	54
824	257	54
825	257	54
826	258	53
827	258	53
828	258	53
829	258	52
830	259	52
831	259	52
832	259	52
833	259	51
834	259	51
835	260	51
836	260	50
837	260	50
838	260	50
839	261	49
840	261	49
841	261	49
842	261	48
843	262	48
844	262	48
845	262	47
846	262	47
847	263	47
848	263	46
849	263	46
850	263	46
851	264	45
852	264	45
853	264	45
854	264	44
855	265	44
856	265	44
857	265	43
858	265	43
859	266	43
860	266	43
861	266	42
862	266	42
863	267	42
864	267	41
865	267	41
866	267	41
867	268	40
868	268	40
869	268	40
870	268	39
871	269	39
872	269	39
873	269	38
874	269	38
875	269	38
876	270	37
877	270	37
878	270	37
879	270	36
880	271	36
881	271	36
882	271	36
883	271	35
884	272	35
885	272	35
886	272	34
887	272	34
888	273	34
889	273	33
890	273	33
891	273	33
892	274	32
893	274	32
894	274	32
895	274	31
896	275	31
897	275	31
898	275	30
899	275	30
900	276	30
901	276	30
902	276	29
903	276	29
904	276	29
905	277	28
906	277	28
907	277	28
908	278	27
909	278	27
910	278	27
911	278	26
912	278	26
